Id,SalePrice
2658,155439.22957430253
2718,153829.79185794824
2414,215211.02210538302
1989,102285.06706283097
625,164967.45212665014
333,90219.43227213062
1327,108005.51698236154
858,151351.14912692693
95,176692.27474911965
1568,165183.74522927383
2482,153102.77566862095
1364,122671.17536431529
2584,136580.93768283204
818,302190.9872268644
2673,104859.74598682996
2089,124181.92643333196
1297,156322.39778298978
790,119123.56671311209
2616,199455.3620016189
720,158282.30365180763
222,149760.51267884005
557,135099.40537693983
1148,190741.45686686083
2766,191521.75263269778
534,179080.88450872287
1452,124613.19522457571
630,117990.50892284459
2648,112676.92180405895
125,161267.96073689248
1904,79360.55369802414
1670,110879.5409117324
756,95195.84093048045
717,190884.33349935865
1032,155530.9079715567
852,204521.97980772372
1731,168504.27403949265
2639,104377.01281917245
2071,86672.14063481605
1267,137193.8715176904
1851,190617.5489496323
567,165293.70565272355
2439,199145.2854263588
1898,148593.92916813845
647,157285.97267486685
2256,208948.9458979007
979,91104.90041409236
1444,211185.0713540576
2485,129789.13997257176
157,133132.3463570632
88,128051.06962416161
2003,108634.24594863554
186,185811.4373097905
1425,231549.3980108932
2695,136307.95825686216
738,114823.25375574567
395,155380.09408980323
1353,161707.76761137182
1878,139709.5996312067
390,157122.36039374748
1456,231161.42733012326
1103,313524.78269840596
1387,128808.37270081515
2070,138561.8850415632
1199,166087.8950576484
2479,170879.41821217263
501,323165.37595959933
2362,98486.76789546899
1718,195231.4644163572
2188,94840.74195673365
1483,152472.11310397682
2557,93859.46650574109
437,386538.0164377572
2224,213355.51868051893
1628,165645.58413759182
397,140441.81770847962
587,190542.46427055416
971,136184.2545772455
2611,137258.19592996562
1887,105265.09869635047
2399,391261.7852094209
2148,193702.54977299055
304,113272.96044782044
1997,120958.72282100638
2817,113759.25160491574
1431,212379.5605204381
427,338471.90306493297
263,128855.0305274562
598,173735.64769837877
2895,238399.2920296118
687,129616.3447130602
1822,133088.00408166475
2191,113560.31023848105
179,127035.32189521988
1009,202137.9951180348
2010,138918.69863758443
1991,123394.4791045991
1411,167294.35357517732
1721,224322.6066929358
1144,188484.36131719747
593,211142.00037144887
575,339479.2510276469
1249,164668.92447596358
1604,129416.25126545275
1064,576032.4692328305
1923,154044.7217719595
1988,110585.53960312757
2325,169323.46110297457
114,204888.04023765685
2700,166512.66644297642
217,121525.97357164335
343,169411.30469577073
386,213620.59419393263
2005,113996.96268249056
2908,148705.80774422313
1814,218129.30462884676
2446,590484.3357100604
208,124565.41064111765
1679,111539.04007495803
822,339427.43426007766
6,197030.4374511238
1781,394173.0741358393
2397,283087.54818734154
2340,314616.4540589051
1618,175096.51795327957
2843,123632.72484539611
1061,381011.0164554983
2786,131029.29220452964
1935,135056.25889879023
1341,113750.54257831018
521,269310.50032021996
2136,134955.37141686067
996,203308.712262086
227,147709.27454889126
135,182474.7759232195
1167,162142.16402427707
294,224568.68731332253
1776,202859.31642230175
540,155651.74079910622
1717,199036.21213465987
2303,136353.79389515708
116,176398.55881163577
127,141330.8900461545
1371,136656.4087416534
1014,269791.3498690723
1507,110190.02462812999
702,114257.83761207304
750,139728.80923734768
261,147870.32953703863
1559,57272.37207565283
577,198701.8693615093
2812,191842.61113133113
2080,157111.43201950772
1368,113430.59973678195
2376,129714.61719726442
659,107984.68771213386
1235,134317.6762757474
332,79089.48251336851
1917,142461.33313572573
2094,261463.23625976025
1460,244188.9001109695
1471,219751.06376595984
1509,130639.5415506519
1922,137097.2726602128
433,644138.1456419443
460,250939.6232583683
1116,236243.29157158127
1137,157722.09622297162
53,166371.82301822395
2354,259061.55740519802
1475,192783.3288327751
1761,715282.9366857837
842,148903.2745923519
2739,193795.74567261818
2509,149236.5571982952
1007,196997.33275108394
2610,181744.16942614448
1952,93561.42295846538
2719,155975.238998784
2921,89124.15553227898
1966,141507.65697258202
292,140238.18741633723
1204,179405.83513564125
1829,250172.52739287863
2419,183180.41024879846
391,146275.88456619772
798,111381.84026168469
481,195616.4606603208
193,189550.94129369178
555,119115.18253062278
899,52677.58994859908
2357,172794.16949196422
328,117820.33172029757
1356,116870.56586919204
1154,110354.19577439372
1730,174676.13007479082
2249,163733.7470978883
1119,275883.74357492913
2856,143520.6900205537
1394,135754.37456408548
2587,124602.44520125633
61,307779.3585291084
2661,167735.77316099202
2711,131089.22566669487
1147,182003.69370321257
757,126826.98616846859
2623,106384.379684106
2378,139469.6305794931
1413,134519.3414499082
1722,212988.783217368
1112,223485.24379793266
1623,195486.43069039745
1201,198188.92551321656
1513,105223.31329059321
957,592044.8412924598
1171,263182.4024365297
1145,187876.9112310156
2726,231090.24278201675
703,132519.02122475268
760,92136.98186840185
1964,146258.57667038558
2512,162426.70183655497
159,144447.6021780436
1281,158824.64941228082
468,186592.74830863829
290,119961.71193361621
665,98094.4268944445
1463,244981.27506150596
1792,218670.22571965295
923,155032.84180108507
500,249427.25273764957
1408,163599.06219641372
331,87663.58229748192
170,111132.5077687163
2192,100597.35971029928
2571,290815.08120489895
2314,175939.9507183355
2647,95806.67921005977
422,512472.9991192981
2457,351240.0104306122
1838,208939.60372895532
2805,260812.37263662863
1645,155595.70295323338
1711,295923.8175463192
2825,240597.85895609728
322,412721.82187816413
2103,245583.36453485594
342,117128.14143594266
600,127787.08568106018
488,174689.59997728665
1725,302941.5020889052
2246,289914.0575306852
2847,146125.32548699804
806,229739.29083122962
530,234515.40941579657
963,192163.66045034205
2678,97958.85449917789
171,91754.43536429679
2401,467150.2580166936
805,225150.10387904375
2259,228638.070219852
1748,188198.91839528264
1361,148448.22429784198
1677,107203.0060524905
1406,142835.3702704226
2322,248281.3385822882
688,148279.63302297576
143,140585.46932727355
804,205733.39262457335
1214,178150.33468166192
2828,141218.4046845883
1999,138597.24158234074
2467,203097.0577348209
2665,148244.8839393664
1538,395175.18751195073
398,121199.42602395744
2822,130468.85344409588
2157,141594.24540452287
1856,197953.78000405393
1269,109625.34122510525
2570,117431.5631597401
2320,228049.26379907198
1517,140395.89368745824
2304,142883.20840778446
1312,102549.10707138287
2012,142021.1873248452
506,237611.62296514557
2865,227583.93686449737
2367,98404.24896293553
554,83892.67398070678
238,129957.12369597302
1954,120689.74771358578
2488,117514.44278102933
2291,71784.60442738148
1969,115168.3836262321
2725,146420.22243314065
1482,146545.85156568134
2763,188167.2517403877
503,248604.29931619286
1584,241827.97196752828
1531,132438.22256620033
2210,173066.17483384802
459,332305.0518802516
556,131322.09137408345
1347,118154.89728353024
1290,83445.353410618
1388,93037.85047968669
1571,357797.0197313174
2754,197255.25060049654
765,140271.60891560174
2494,132464.18565173305
2870,230209.10828422362
7,214435.3412813484
1114,233955.80599087564
2418,272701.04482038907
291,46577.679931429884
18,400034.3141506192
39,404952.3634733052
1001,238187.61641391128
2442,223371.99463759494
616,120164.46167737804
2680,80293.13429184127
1414,130524.35472268336
289,157664.86883488018
40,243002.3491966213
860,124127.76863945201
409,130689.33698640125
673,144501.1178565606
2427,177087.84615355576
2036,200840.2411285115
2564,142232.18065727537
642,144724.2267733834
1008,166258.39633390907
1908,145122.31856551906
2519,204346.06994194185
1369,100874.96110983744
2855,165925.55525328591
712,102544.99800724362
1943,105917.89744990233
1958,117266.29906054983
107,168001.31445429949
2295,192197.99623308354
704,102398.80911094588
676,147360.90191540116
259,178760.02151922623
93,276851.822111732
106,243104.34291413412
2315,179174.67427482043
1050,114115.67710735291
1095,196302.37082923081
2709,149718.22612363688
758,120642.66426807884
1496,153437.2447979172
2370,116196.94794762843
2458,270481.1077630769
2733,132532.1944827482
161,244645.2427416267
726,148502.35834981332
845,197750.0601330207
947,243653.4195023901
2232,117691.54318740043
2563,140125.70640890414
2299,110932.86742614837
211,83235.23675727798
605,149424.83203564794
1478,191669.69486313328
2247,279910.9903188938
2274,161716.08013089385
2869,216778.70677653825
967,207402.52055531277
2656,117318.269755109
667,184148.7125880911
1042,104943.43209719118
2023,149419.562961146
2447,401731.8746672359
2055,136018.76719812484
2275,293731.2816869163
2204,173386.2667331343
1563,283476.6839518085
483,200113.7117375331
796,129514.18667185346
1526,164675.5339267082
2042,124806.94129121573
442,356324.64645768795
1693,327419.1249288001
1468,215026.63653013538
1430,201123.5847341515
2605,125971.64572912906
1529,206034.8377183984
335,148713.24617447273
1287,126071.49455072598
31,96950.2212754341
1785,325570.56339794653
82,158732.93993360386
2620,95224.98599390879
252,178249.9934196119
721,50696.87805934525
2165,185064.3239024753
2316,185033.8554352862
775,136195.49841594452
1558,61339.480316201945
17,234755.96511300383
1022,212718.92805022513
925,132624.26603195496
438,265072.93130127
1270,141603.57891435147
1272,130537.50763688427
215,120186.294496945
266,224464.88687280004
2402,275001.73793270515
1250,127491.37675640306
1984,104663.36103574412
1279,149909.03504795072
377,243718.85546759437
1252,98856.31628830542
